variant_group	pango_lineage
A.23.1	A.23.1
AV.1	AV.1
B.1.1.318	B.1.1.318
Alpha_B.1.1.7	B.1.1.7
Beta_B.1.351	B.1.351,B.1.351.2,B.1.351.3
Epsilon_B.1.427_429	B.1.427,B.1.429
Eta_B.1.525	B.1.525
Iota_B.1.526	B.1.526
Kappa_B.1.617.1	B.1.617.1
Delta_B.1.617.2	B.1.617.2,AY.1,AY.2,AY.3,AY.3.1
B.1.617.3	B.1.617.3
Mu_B.1.621	B.1.621,B.1.621.1
B.1.623	B.1.623
Lambda_C.37	C.37
Gamma_P.1	P.1,P.1.1,P.1.2,P.1.4,P.1.6,P.1.7
Zeta_P.2	P.2
Theta_P.3	P.3
B.1.177	B.1.177
B.1.1	B.1.1
B.1	B.1
Omicron_BA.1	BA.1
Omicron_BA.2	BA.2
Omicron_BA.3	BA.3
